ordinal	counterfactual_index	witness_ordinal	from_aspect	to_aspect	rule_style	match_path	source_path	target_path	arena_path	witness_arena_path	trit_delta	closure_effect	color_hex	semantic_cost	fingerprint
19	19	2	trit_tick_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#BD7C65	0.841218	0x5e06f9e4946413f5
20	20	2	trit_tick_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#7E645B	0.718247	0xfff3597cef228947
21	21	2	trit_tick_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#A0974A	0.793098	0xe08db0905c934286
22	22	2	trit_tick_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#70DF79	0.730962	0x3e7f8b2498ddf55c
23	23	2	trit_tick_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#C923F0	1.163688	0xa1219488b22495f8
24	24	2	trit_tick_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#A47ECC	0.875661	0x397c3b7b7656b2db
25	25	2	trit_tick_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#23A799	0.981105	0xdb574f70f5864991
26	26	2	trit_tick_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#9E2EBE	0.838196	0xd170774a50262b8d
27	27	2	trit_tick_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#568291	0.460864	0xb62d57948bf2b688
28	28	2	trit_tick_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#99380E	0.672928	0x120a5bae35de366f
29	29	3	rng_determinism_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#7BBAFF	1.252864	0x641c5b2622d92855
30	30	3	rng_determinism_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#6D4C2E	1.069565	0xaea738e06336751f
31	31	3	rng_determinism_object	parallel_invariance_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#5FF908	1.266461	0xbfe09b1274a0c207
32	32	3	rng_determinism_object	palette_interface_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#F71C86	0.745154	0x76468a53795b550d
33	33	3	rng_determinism_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#873CF5	0.321879	0xfd404128686faaac
34	34	3	rng_determinism_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#9AD575	1.036509	0xda883038d64e3641
35	35	3	rng_determinism_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#87064D	0.946216	0x165fdaf1c9ba5c18
36	36	3	rng_determinism_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#A84A63	1.000707	0xf4d79c7701548962
37	37	3	rng_determinism_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#57E80D	0.952221	0xad842233ab0a5bdf
38	38	3	rng_determinism_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#771B97	0.712774	0x537b3acee45f8140
39	39	3	rng_determinism_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#D8D88D	0.670496	0x18bcf05374f0d518
40	40	3	rng_determinism_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#BBD025	0.980927	0x90367affcf189871
41	41	3	rng_determinism_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#D3E790	1.0036	0xfec22ea2e8743875
42	42	3	rng_determinism_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#1235C4	0.773345	0x64d1f77b93d32093
43	43	4	parallel_invariance_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#B971F1	0.45822	0xc2682220f6c99c08
44	44	4	parallel_invariance_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#E05FA4	0.707633	0x24f3ced7512ad2f2
45	45	4	parallel_invariance_object	rng_determinism_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#0ACD79	1.016013	0x3b554bc9fe46063c
46	46	4	parallel_invariance_object	palette_interface_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#7EEF94	0.668713	0x1d270ddf319164d1
47	47	4	parallel_invariance_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#E34528	0.7424	0xf8e05ecb89f6ea1f
48	48	4	parallel_invariance_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#86BD49	0.586796	0xc55d15b57555c529
49	49	4	parallel_invariance_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#0ED9AE	0.988986	0x3cb178bc2700b010
50	50	4	parallel_invariance_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#25EE25	0.861524	0xe5c254b4110dc2b6
51	51	4	parallel_invariance_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#2DEDCF	0.760521	0x8e487a253c8ee096
52	52	4	parallel_invariance_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#E6D27A	0.782246	0xb683fdbf3e639a96
53	53	4	parallel_invariance_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#15F71D	0.756154	0xc5e6d336a8d620a8
54	54	4	parallel_invariance_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#2F8398	0.217001	0x41a5e6d968c048a6
55	55	4	parallel_invariance_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#82A5B2	0.535247	0xc381a1125f0c5d40
56	56	4	parallel_invariance_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#3764C3	0.809558	0x79c3c8fc01d1966a
57	57	5	palette_interface_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#9F182B	0.62766	0x986e5e144b4be1cd
58	58	5	palette_interface_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#EA2FDB	0.117254	0x2e20b361a23d426c
59	59	5	palette_interface_object	rng_determinism_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#4EAFA8	0.883514	0xb03b098605d4f079
60	60	5	palette_interface_object	parallel_invariance_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#E30E52	1.18765	0xd6ae461b89649c62
61	61	5	palette_interface_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#080AC0	0.94787	0xb1945d6a6d87ad08
62	62	5	palette_interface_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#665112	1.051527	0x022bcf6e0c7dad4a
63	63	5	palette_interface_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#DBDAE9	0.665293	0x95094c382d7de0f2
64	64	5	palette_interface_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#0E5C81	0.862977	0xe7fa659de1ff77c7
65	65	5	palette_interface_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#F800B9	1.164354	0x93934d5cbf27a4da
66	66	5	palette_interface_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#4D481B	0.496756	0xc00a502ce5866fcb
67	67	5	palette_interface_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#4DBA92	0.629223	0x1642e0700608a719
68	68	5	palette_interface_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#85346C	0.419786	0x9362ffff8c3b9c07
69	69	5	palette_interface_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#6DB876	0.282924	0xc4324035697d5648
70	70	5	palette_interface_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#51B137	1.011402	0xc96eb66d1b787469
71	71	6	lisp_semantics_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#C804E5	0.957849	0xab1eb1f3ed923579
72	72	6	lisp_semantics_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#EC96F2	0.91099	0x99af40bf61aaf146
73	73	6	lisp_semantics_object	rng_determinism_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#DA13FB	0.684771	0x53a32009ef236966
74	74	6	lisp_semantics_object	parallel_invariance_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#CBB096	0.9078	0xa6a4e1ce23db48cb
75	75	6	lisp_semantics_object	palette_interface_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#80C990	1.235908	0xa801d217cdf16de6
76	76	6	lisp_semantics_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#CE6ED0	0.917318	0xdc6c22359580f0cb
77	77	6	lisp_semantics_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#4CBA0F	1.055211	0xa5ae317e08408517
78	78	6	lisp_semantics_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#6DB6DB	0.506429	0xa89be50347094002
79	79	6	lisp_semantics_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#E850C8	1.182188	0xb3126169fd958f3d
80	80	6	lisp_semantics_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#308A20	1.33134	0x2fb154f35af9e18e
81	81	6	lisp_semantics_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#688AAD	0.486101	0xdeafcbdfe914b0fe
82	82	6	lisp_semantics_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#E55B18	0.837648	0x9c5398e37b6aa493
83	83	6	lisp_semantics_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#11501C	0.990111	0x2e1820c8cf04b2ca
84	84	6	lisp_semantics_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#CBCBFA	0.817541	0x24e85e7006eb8acd
85	85	7	entropy_source_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#82EA53	0.341897	0x50a32922460281a7
86	86	7	entropy_source_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#33915C	0.407117	0x8254979aeb819e0e
87	87	7	entropy_source_object	rng_determinism_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#C4FCCC	0.838272	0xa415348a172dd2a9
88	88	7	entropy_source_object	parallel_invariance_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#98587C	0.968199	0x2d0fdd2c0649d7ea
89	89	7	entropy_source_object	palette_interface_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#1C3151	1.011889	0xfd2d78fa4ef00df2
90	90	7	entropy_source_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#7531CF	1.019115	0x51fd097d8dac817d
91	91	7	entropy_source_object	propagator_cell_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#C84AB8	1.011357	0xcfae42e3b7ec61a2
92	92	7	entropy_source_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#23878A	0.982006	0x906d934ff01120b0
93	93	7	entropy_source_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#5AAA2A	0.8603	0x03d7f1658ca03a00
94	94	7	entropy_source_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#3639CD	0.786236	0xf5197ed62f530c24
95	95	7	entropy_source_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#5AAB29	0.642242	0x4b25b0cdb6f6b3da
96	96	7	entropy_source_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#1FB4F0	0.211982	0xfe35b46bbdd12c19
97	97	7	entropy_source_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#04D4E9	0.720378	0x35ef1629e81ae3b8
98	98	7	entropy_source_object	scip_catcolab_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#01F56E	1.129489	0x577ddd4ff2705723
99	99	8	propagator_cell_object	color_space_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#137DE1	1.247025	0xe6f58e71e7e6099f
100	100	8	propagator_cell_object	trit_tick_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#365B42	0.769727	0xb9b0fbde9ffe0cf1
101	101	8	propagator_cell_object	rng_determinism_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#2E31B7	1.157899	0x57aca6b6f57b3044
102	102	8	propagator_cell_object	parallel_invariance_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#C978E1	0.992005	0xf197a2c6c6f71b4f
103	103	8	propagator_cell_object	palette_interface_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#71E7E5	0.336525	0xa0d0c3c97acf6fe6
104	104	8	propagator_cell_object	lisp_semantics_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#88477F	0.424883	0x49e0b71debe5c1e0
105	105	8	propagator_cell_object	entropy_source_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#668D2D	0.776314	0xf7db2ecf32797eff
106	106	8	propagator_cell_object	abductive_world_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#C4FAA8	1.199752	0xea2a989726a3e59e
107	107	8	propagator_cell_object	fuzz_soundness_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#703FCB	0.869571	0xaf626c63c74afe7f
108	108	8	propagator_cell_object	ternary_regression_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#A24BC8	0.605422	0x5a46a429f13f19c2
109	109	8	propagator_cell_object	nonriemannian_gate_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	1	positive_shift	#3E274B	0.991888	0xaebb8032a6d33174
110	110	8	propagator_cell_object	exa_loop_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	-1	negative_shift	#0710DF	0.956727	0x8d8e3b9bfaff0b96
111	111	8	propagator_cell_object	aqua_hygiene_object	colored_bisimulation_candidate	has_aspect	has_counterfactual;from_aspect	has_counterfactual;to_aspect	has_counterfactual;shared_in	witness_arena	0	same_trit_relabel	#AFCD39	0.634822	0xa90f32185af0f73f
