witness_ordinal	from_aspect	to_aspect	trit_delta	closure_effect	color_hex	semantic_cost
3	rng_determinism_object	propagator_cell_object	-1	negative_shift	#87064D	0.946216
3	rng_determinism_object	abductive_world_object	0	same_trit_relabel	#A84A63	1.000707
3	rng_determinism_object	fuzz_soundness_object	1	positive_shift	#57E80D	0.952221
3	rng_determinism_object	ternary_regression_object	-1	negative_shift	#771B97	0.712774
3	rng_determinism_object	nonriemannian_gate_object	0	same_trit_relabel	#D8D88D	0.670496
3	rng_determinism_object	exa_loop_object	1	positive_shift	#BBD025	0.980927
3	rng_determinism_object	aqua_hygiene_object	-1	negative_shift	#D3E790	1.0036
3	rng_determinism_object	scip_catcolab_object	0	same_trit_relabel	#1235C4	0.773345
4	parallel_invariance_object	color_space_object	0	same_trit_relabel	#B971F1	0.45822
4	parallel_invariance_object	trit_tick_object	1	positive_shift	#E05FA4	0.707633
4	parallel_invariance_object	rng_determinism_object	-1	negative_shift	#0ACD79	1.016013
4	parallel_invariance_object	palette_interface_object	1	positive_shift	#7EEF94	0.668713
4	parallel_invariance_object	lisp_semantics_object	-1	negative_shift	#E34528	0.7424
4	parallel_invariance_object	entropy_source_object	0	same_trit_relabel	#86BD49	0.586796
4	parallel_invariance_object	propagator_cell_object	1	positive_shift	#0ED9AE	0.988986
4	parallel_invariance_object	abductive_world_object	-1	negative_shift	#25EE25	0.861524
4	parallel_invariance_object	fuzz_soundness_object	0	same_trit_relabel	#2DEDCF	0.760521
4	parallel_invariance_object	ternary_regression_object	1	positive_shift	#E6D27A	0.782246
4	parallel_invariance_object	nonriemannian_gate_object	-1	negative_shift	#15F71D	0.756154
4	parallel_invariance_object	exa_loop_object	0	same_trit_relabel	#2F8398	0.217001
4	parallel_invariance_object	aqua_hygiene_object	1	positive_shift	#82A5B2	0.535247
4	parallel_invariance_object	scip_catcolab_object	-1	negative_shift	#3764C3	0.809558
5	palette_interface_object	color_space_object	-1	negative_shift	#9F182B	0.62766
5	palette_interface_object	trit_tick_object	0	same_trit_relabel	#EA2FDB	0.117254
5	palette_interface_object	rng_determinism_object	1	positive_shift	#4EAFA8	0.883514
5	palette_interface_object	parallel_invariance_object	-1	negative_shift	#E30E52	1.18765
5	palette_interface_object	lisp_semantics_object	1	positive_shift	#080AC0	0.94787
5	palette_interface_object	entropy_source_object	-1	negative_shift	#665112	1.051527
5	palette_interface_object	propagator_cell_object	0	same_trit_relabel	#DBDAE9	0.665293
5	palette_interface_object	abductive_world_object	1	positive_shift	#0E5C81	0.862977
5	palette_interface_object	fuzz_soundness_object	-1	negative_shift	#F800B9	1.164354
5	palette_interface_object	ternary_regression_object	0	same_trit_relabel	#4D481B	0.496756
5	palette_interface_object	nonriemannian_gate_object	1	positive_shift	#4DBA92	0.629223
5	palette_interface_object	exa_loop_object	-1	negative_shift	#85346C	0.419786
5	palette_interface_object	aqua_hygiene_object	0	same_trit_relabel	#6DB876	0.282924
5	palette_interface_object	scip_catcolab_object	1	positive_shift	#51B137	1.011402
6	lisp_semantics_object	color_space_object	1	positive_shift	#C804E5	0.957849
6	lisp_semantics_object	trit_tick_object	-1	negative_shift	#EC96F2	0.91099
6	lisp_semantics_object	rng_determinism_object	0	same_trit_relabel	#DA13FB	0.684771
6	lisp_semantics_object	parallel_invariance_object	1	positive_shift	#CBB096	0.9078
6	lisp_semantics_object	palette_interface_object	-1	negative_shift	#80C990	1.235908
6	lisp_semantics_object	entropy_source_object	1	positive_shift	#CE6ED0	0.917318
6	lisp_semantics_object	propagator_cell_object	-1	negative_shift	#4CBA0F	1.055211
6	lisp_semantics_object	abductive_world_object	0	same_trit_relabel	#6DB6DB	0.506429
6	lisp_semantics_object	fuzz_soundness_object	1	positive_shift	#E850C8	1.182188
6	lisp_semantics_object	ternary_regression_object	-1	negative_shift	#308A20	1.33134
6	lisp_semantics_object	nonriemannian_gate_object	0	same_trit_relabel	#688AAD	0.486101
6	lisp_semantics_object	exa_loop_object	1	positive_shift	#E55B18	0.837648
6	lisp_semantics_object	aqua_hygiene_object	-1	negative_shift	#11501C	0.990111
6	lisp_semantics_object	scip_catcolab_object	0	same_trit_relabel	#CBCBFA	0.817541
7	entropy_source_object	color_space_object	0	same_trit_relabel	#82EA53	0.341897
7	entropy_source_object	trit_tick_object	1	positive_shift	#33915C	0.407117
7	entropy_source_object	rng_determinism_object	-1	negative_shift	#C4FCCC	0.838272
7	entropy_source_object	parallel_invariance_object	0	same_trit_relabel	#98587C	0.968199
7	entropy_source_object	palette_interface_object	1	positive_shift	#1C3151	1.011889
7	entropy_source_object	lisp_semantics_object	-1	negative_shift	#7531CF	1.019115
7	entropy_source_object	propagator_cell_object	1	positive_shift	#C84AB8	1.011357
7	entropy_source_object	abductive_world_object	-1	negative_shift	#23878A	0.982006
7	entropy_source_object	fuzz_soundness_object	0	same_trit_relabel	#5AAA2A	0.8603
7	entropy_source_object	ternary_regression_object	1	positive_shift	#3639CD	0.786236
7	entropy_source_object	nonriemannian_gate_object	-1	negative_shift	#5AAB29	0.642242
7	entropy_source_object	exa_loop_object	0	same_trit_relabel	#1FB4F0	0.211982
7	entropy_source_object	aqua_hygiene_object	1	positive_shift	#04D4E9	0.720378
7	entropy_source_object	scip_catcolab_object	-1	negative_shift	#01F56E	1.129489
8	propagator_cell_object	color_space_object	-1	negative_shift	#137DE1	1.247025
8	propagator_cell_object	trit_tick_object	0	same_trit_relabel	#365B42	0.769727
8	propagator_cell_object	rng_determinism_object	1	positive_shift	#2E31B7	1.157899
8	propagator_cell_object	parallel_invariance_object	-1	negative_shift	#C978E1	0.992005
8	propagator_cell_object	palette_interface_object	0	same_trit_relabel	#71E7E5	0.336525
8	propagator_cell_object	lisp_semantics_object	1	positive_shift	#88477F	0.424883
8	propagator_cell_object	entropy_source_object	-1	negative_shift	#668D2D	0.776314
8	propagator_cell_object	abductive_world_object	1	positive_shift	#C4FAA8	1.199752
8	propagator_cell_object	fuzz_soundness_object	-1	negative_shift	#703FCB	0.869571
8	propagator_cell_object	ternary_regression_object	0	same_trit_relabel	#A24BC8	0.605422
8	propagator_cell_object	nonriemannian_gate_object	1	positive_shift	#3E274B	0.991888
8	propagator_cell_object	exa_loop_object	-1	negative_shift	#0710DF	0.956727
8	propagator_cell_object	aqua_hygiene_object	0	same_trit_relabel	#AFCD39	0.634822
8	propagator_cell_object	scip_catcolab_object	1	positive_shift	#02C626	0.943802
9	abductive_world_object	color_space_object	1	positive_shift	#FDC1AF	1.35236
9	abductive_world_object	trit_tick_object	-1	negative_shift	#D3CAD1	1.123352
9	abductive_world_object	rng_determinism_object	0	same_trit_relabel	#7FE497	0.593402
9	abductive_world_object	parallel_invariance_object	1	positive_shift	#65BF41	0.933333
9	abductive_world_object	palette_interface_object	-1	negative_shift	#C9B990	1.068227
9	abductive_world_object	lisp_semantics_object	0	same_trit_relabel	#A45DF1	0.382247
9	abductive_world_object	entropy_source_object	1	positive_shift	#F45D72	0.705407
9	abductive_world_object	propagator_cell_object	-1	negative_shift	#633937	0.573127
9	abductive_world_object	fuzz_soundness_object	1	positive_shift	#174699	0.472314
9	abductive_world_object	ternary_regression_object	-1	negative_shift	#7CD780	1.113814
9	abductive_world_object	nonriemannian_gate_object	0	same_trit_relabel	#64C31D	0.545465
9	abductive_world_object	exa_loop_object	1	positive_shift	#405F72	1.024509
9	abductive_world_object	aqua_hygiene_object	-1	negative_shift	#4CE7C0	1.177856
9	abductive_world_object	scip_catcolab_object	0	same_trit_relabel	#D1B3A1	0.920801
10	fuzz_soundness_object	color_space_object	0	same_trit_relabel	#918BE5	0.483897
10	fuzz_soundness_object	trit_tick_object	1	positive_shift	#4F696E	0.994871
10	fuzz_soundness_object	rng_determinism_object	-1	negative_shift	#E3A865	1.346951
10	fuzz_soundness_object	parallel_invariance_object	0	same_trit_relabel	#08DFD9	0.696009
10	fuzz_soundness_object	palette_interface_object	1	positive_shift	#9D29E7	1.100228
10	fuzz_soundness_object	lisp_semantics_object	-1	negative_shift	#05278E	1.190409
10	fuzz_soundness_object	entropy_source_object	0	same_trit_relabel	#BFCFA3	0.7436
10	fuzz_soundness_object	propagator_cell_object	1	positive_shift	#7F501D	1.366501
10	fuzz_soundness_object	abductive_world_object	-1	negative_shift	#D9D661	0.416152
10	fuzz_soundness_object	ternary_regression_object	1	positive_shift	#630F60	1.355389
10	fuzz_soundness_object	nonriemannian_gate_object	-1	negative_shift	#35430A	1.070484
10	fuzz_soundness_object	exa_loop_object	0	same_trit_relabel	#D60680	0.541134
10	fuzz_soundness_object	aqua_hygiene_object	1	positive_shift	#6FBFB9	0.80747
10	fuzz_soundness_object	scip_catcolab_object	-1	negative_shift	#9527F3	0.852019
11	ternary_regression_object	color_space_object	-1	negative_shift	#80BB2F	1.030899
11	ternary_regression_object	trit_tick_object	0	same_trit_relabel	#8A3781	0.480388
11	ternary_regression_object	rng_determinism_object	1	positive_shift	#378893	0.805406
11	ternary_regression_object	parallel_invariance_object	-1	negative_shift	#BF875D	0.938565
11	ternary_regression_object	palette_interface_object	0	same_trit_relabel	#07F621	0.535291
11	ternary_regression_object	lisp_semantics_object	1	positive_shift	#C52E17	0.630675
11	ternary_regression_object	entropy_source_object	-1	negative_shift	#F026F1	0.722103
11	ternary_regression_object	propagator_cell_object	0	same_trit_relabel	#BC656A	0.317356
11	ternary_regression_object	abductive_world_object	1	positive_shift	#869DB8	1.05619
11	ternary_regression_object	fuzz_soundness_object	-1	negative_shift	#4DB548	0.756172
11	ternary_regression_object	nonriemannian_gate_object	1	positive_shift	#03FACB	0.620573
11	ternary_regression_object	exa_loop_object	-1	negative_shift	#9A36C1	0.700665
11	ternary_regression_object	aqua_hygiene_object	0	same_trit_relabel	#75D3B0	0.532366
11	ternary_regression_object	scip_catcolab_object	1	positive_shift	#BB3969	1.040272
12	nonriemannian_gate_object	color_space_object	1	positive_shift	#44D12D	1.278928
12	nonriemannian_gate_object	trit_tick_object	-1	negative_shift	#8B4E1E	1.367238
12	nonriemannian_gate_object	rng_determinism_object	0	same_trit_relabel	#AA8AF0	1.342724
12	nonriemannian_gate_object	parallel_invariance_object	1	positive_shift	#ABF6BE	1.198304
12	nonriemannian_gate_object	palette_interface_object	-1	negative_shift	#79F404	0.780409
12	nonriemannian_gate_object	lisp_semantics_object	0	same_trit_relabel	#B20D64	0.725183
12	nonriemannian_gate_object	entropy_source_object	1	positive_shift	#045181	1.166821
12	nonriemannian_gate_object	propagator_cell_object	-1	negative_shift	#143B50	1.531884
12	nonriemannian_gate_object	abductive_world_object	0	same_trit_relabel	#89E0E3	0.740834
12	nonriemannian_gate_object	fuzz_soundness_object	1	positive_shift	#93559D	1.527482
12	nonriemannian_gate_object	ternary_regression_object	-1	negative_shift	#D7F774	1.318646
12	nonriemannian_gate_object	exa_loop_object	1	positive_shift	#A1488A	1.19833
12	nonriemannian_gate_object	aqua_hygiene_object	-1	negative_shift	#2A6899	0.99288
12	nonriemannian_gate_object	scip_catcolab_object	0	same_trit_relabel	#7ADB63	0.28033
13	exa_loop_object	color_space_object	0	same_trit_relabel	#7263D1	0.419901
13	exa_loop_object	trit_tick_object	1	positive_shift	#3F2C1A	0.646814
13	exa_loop_object	rng_determinism_object	-1	negative_shift	#D0D57B	1.010608
13	exa_loop_object	parallel_invariance_object	0	same_trit_relabel	#81DB5A	0.96406
13	exa_loop_object	palette_interface_object	1	positive_shift	#4D05A9	0.800379
13	exa_loop_object	lisp_semantics_object	-1	negative_shift	#65768D	0.906755
13	exa_loop_object	entropy_source_object	0	same_trit_relabel	#DEACC8	0.798807
13	exa_loop_object	propagator_cell_object	1	positive_shift	#AE580C	1.073305
13	exa_loop_object	abductive_world_object	-1	negative_shift	#C41878	0.988705
13	exa_loop_object	fuzz_soundness_object	0	same_trit_relabel	#2F2D8D	0.875362
13	exa_loop_object	ternary_regression_object	1	positive_shift	#4AC17D	0.644252
13	exa_loop_object	nonriemannian_gate_object	-1	negative_shift	#C2D13B	0.798746
13	exa_loop_object	aqua_hygiene_object	1	positive_shift	#B41591	0.609658
13	exa_loop_object	scip_catcolab_object	-1	negative_shift	#5EE26D	0.97906
14	aqua_hygiene_object	color_space_object	-1	negative_shift	#16F2A8	1.150414
14	aqua_hygiene_object	trit_tick_object	0	same_trit_relabel	#562853	0.915894
14	aqua_hygiene_object	rng_determinism_object	1	positive_shift	#0304C7	1.564044
14	aqua_hygiene_object	parallel_invariance_object	-1	negative_shift	#DFEFC2	1.058707
14	aqua_hygiene_object	palette_interface_object	0	same_trit_relabel	#8E12ED	0.433098
14	aqua_hygiene_object	lisp_semantics_object	1	positive_shift	#1B7252	1.003566
14	aqua_hygiene_object	entropy_source_object	-1	negative_shift	#1EA771	1.048963
14	aqua_hygiene_object	propagator_cell_object	0	same_trit_relabel	#CDBD9C	1.10385
14	aqua_hygiene_object	abductive_world_object	1	positive_shift	#56ACA0	0.900187
14	aqua_hygiene_object	fuzz_soundness_object	-1	negative_shift	#401296	1.450113
14	aqua_hygiene_object	ternary_regression_object	0	same_trit_relabel	#4D8881	0.955005
14	aqua_hygiene_object	nonriemannian_gate_object	1	positive_shift	#CC96C8	1.290164
14	aqua_hygiene_object	exa_loop_object	-1	negative_shift	#0F1117	1.073617
14	aqua_hygiene_object	scip_catcolab_object	1	positive_shift	#6541F7	0.455973
15	scip_catcolab_object	color_space_object	1	positive_shift	#68C3C9	1.216949
15	scip_catcolab_object	trit_tick_object	-1	negative_shift	#03AD01	1.023407
15	scip_catcolab_object	rng_determinism_object	0	same_trit_relabel	#020549	0.696385
15	scip_catcolab_object	parallel_invariance_object	1	positive_shift	#2C7F12	1.092519
15	scip_catcolab_object	palette_interface_object	-1	negative_shift	#FF772A	0.743676
15	scip_catcolab_object	lisp_semantics_object	0	same_trit_relabel	#755F80	0.158908
15	scip_catcolab_object	entropy_source_object	1	positive_shift	#8FD1E0	0.855197
15	scip_catcolab_object	propagator_cell_object	-1	negative_shift	#F57F0A	0.806301
15	scip_catcolab_object	abductive_world_object	0	same_trit_relabel	#3BD0B1	0.913869
15	scip_catcolab_object	fuzz_soundness_object	1	positive_shift	#BACE06	0.799736
15	scip_catcolab_object	ternary_regression_object	-1	negative_shift	#65020E	0.808264
15	scip_catcolab_object	nonriemannian_gate_object	0	same_trit_relabel	#2C415B	0.568803
15	scip_catcolab_object	exa_loop_object	1	positive_shift	#1C745C	0.91103
15	scip_catcolab_object	aqua_hygiene_object	-1	negative_shift	#C3558E	0.970754
16	color_space_object	trit_tick_object	1	positive_shift	#F92C19	0.98666
16	color_space_object	rng_determinism_object	-1	negative_shift	#36CC55	0.969136
16	color_space_object	parallel_invariance_object	0	same_trit_relabel	#DD038A	0.337938
16	color_space_object	palette_interface_object	1	positive_shift	#31EDFF	1.052008
16	color_space_object	lisp_semantics_object	-1	negative_shift	#CDBBE9	0.829966
16	color_space_object	entropy_source_object	0	same_trit_relabel	#5F1320	0.233226
16	color_space_object	propagator_cell_object	1	positive_shift	#EDFC82	0.809251
16	color_space_object	abductive_world_object	-1	negative_shift	#1D11AE	0.991807
16	color_space_object	fuzz_soundness_object	0	same_trit_relabel	#9941E6	0.528627
16	color_space_object	ternary_regression_object	1	positive_shift	#CEFDA6	1.211633
16	color_space_object	nonriemannian_gate_object	-1	negative_shift	#5E3244	0.788303
16	color_space_object	exa_loop_object	0	same_trit_relabel	#36CB49	0.522776
16	color_space_object	aqua_hygiene_object	1	positive_shift	#12A439	1.000115
16	color_space_object	scip_catcolab_object	-1	negative_shift	#EB5EDE	1.065838
17	trit_tick_object	color_space_object	-1	negative_shift	#5DB5C5	0.847657
17	trit_tick_object	rng_determinism_object	1	positive_shift	#AFFE00	1.05188
17	trit_tick_object	parallel_invariance_object	-1	negative_shift	#BA0159	0.994592
17	trit_tick_object	palette_interface_object	0	same_trit_relabel	#ACC0A0	0.889894
17	trit_tick_object	lisp_semantics_object	1	positive_shift	#5716E7	1.164715
17	trit_tick_object	entropy_source_object	-1	negative_shift	#57A6E6	1.000069
17	trit_tick_object	propagator_cell_object	0	same_trit_relabel	#7BBFC8	0.796349
17	trit_tick_object	abductive_world_object	1	positive_shift	#FFC698	0.75081
17	trit_tick_object	fuzz_soundness_object	-1	negative_shift	#35AF19	1.270432
17	trit_tick_object	ternary_regression_object	0	same_trit_relabel	#E67B8A	0.975391
17	trit_tick_object	nonriemannian_gate_object	1	positive_shift	#1CEBE6	0.831311
17	trit_tick_object	exa_loop_object	-1	negative_shift	#1D2C2F	0.792576
17	trit_tick_object	aqua_hygiene_object	0	same_trit_relabel	#5946F0	0.589893
17	trit_tick_object	scip_catcolab_object	1	positive_shift	#EEF0E6	1.11799
18	rng_determinism_object	color_space_object	1	positive_shift	#B63E77	1.224229
18	rng_determinism_object	trit_tick_object	-1	negative_shift	#11C38D	1.011946
18	rng_determinism_object	parallel_invariance_object	1	positive_shift	#9AAC3A	1.25319
18	rng_determinism_object	palette_interface_object	-1	negative_shift	#8246F7	0.802137
18	rng_determinism_object	lisp_semantics_object	0	same_trit_relabel	#838A69	0.322953
18	rng_determinism_object	entropy_source_object	1	positive_shift	#9A229C	1.015675
18	rng_determinism_object	propagator_cell_object	-1	negative_shift	#C25F9E	0.857153
18	rng_determinism_object	abductive_world_object	0	same_trit_relabel	#5B4EC6	0.992506
18	rng_determinism_object	fuzz_soundness_object	1	positive_shift	#FAAB5C	0.883766
18	rng_determinism_object	ternary_regression_object	-1	negative_shift	#74609D	0.678721
18	rng_determinism_object	nonriemannian_gate_object	0	same_trit_relabel	#6A173E	0.592222
18	rng_determinism_object	exa_loop_object	1	positive_shift	#722621	0.937828
18	rng_determinism_object	aqua_hygiene_object	-1	negative_shift	#C84C0F	0.999977
18	rng_determinism_object	scip_catcolab_object	0	same_trit_relabel	#10AED7	0.812645
19	parallel_invariance_object	color_space_object	0	same_trit_relabel	#3A6472	0.981278
19	parallel_invariance_object	trit_tick_object	1	positive_shift	#0E46EC	1.22874
19	parallel_invariance_object	rng_determinism_object	-1	negative_shift	#518BAF	1.264299
19	parallel_invariance_object	palette_interface_object	1	positive_shift	#E49219	0.959287
19	parallel_invariance_object	lisp_semantics_object	-1	negative_shift	#6CE44A	0.764724
19	parallel_invariance_object	entropy_source_object	0	same_trit_relabel	#FF9BA3	0.142586
19	parallel_invariance_object	propagator_cell_object	1	positive_shift	#AAB342	1.008128
19	parallel_invariance_object	abductive_world_object	-1	negative_shift	#52AD37	1.091739
19	parallel_invariance_object	fuzz_soundness_object	0	same_trit_relabel	#92E5EB	0.616398
19	parallel_invariance_object	ternary_regression_object	1	positive_shift	#0167BA	1.31137
19	parallel_invariance_object	nonriemannian_gate_object	-1	negative_shift	#7DDBE9	1.072598
19	parallel_invariance_object	exa_loop_object	0	same_trit_relabel	#56D2E0	0.723676
19	parallel_invariance_object	aqua_hygiene_object	1	positive_shift	#CDF729	1.091191
19	parallel_invariance_object	scip_catcolab_object	-1	negative_shift	#4B8BA9	0.953425
20	palette_interface_object	color_space_object	-1	negative_shift	#1352DA	1.061458
20	palette_interface_object	trit_tick_object	0	same_trit_relabel	#F5EA57	0.453497
20	palette_interface_object	rng_determinism_object	1	positive_shift	#4A9B18	0.639165
20	palette_interface_object	parallel_invariance_object	-1	negative_shift	#C8650C	1.071443
20	palette_interface_object	lisp_semantics_object	1	positive_shift	#443D8C	0.772654
20	palette_interface_object	entropy_source_object	-1	negative_shift	#7FB462	0.861349
20	palette_interface_object	propagator_cell_object	0	same_trit_relabel	#F60662	0.224113
20	palette_interface_object	abductive_world_object	1	positive_shift	#ED4B58	1.159715
20	palette_interface_object	fuzz_soundness_object	-1	negative_shift	#372006	0.739684
20	palette_interface_object	ternary_regression_object	0	same_trit_relabel	#F99667	0.540707
20	palette_interface_object	nonriemannian_gate_object	1	positive_shift	#2CEA95	0.544298
20	palette_interface_object	exa_loop_object	-1	negative_shift	#B39F39	0.743226
20	palette_interface_object	aqua_hygiene_object	0	same_trit_relabel	#BC14F6	0.624848
20	palette_interface_object	scip_catcolab_object	1	positive_shift	#E20376	1.196684
21	lisp_semantics_object	color_space_object	1	positive_shift	#C73859	1.171568
21	lisp_semantics_object	trit_tick_object	-1	negative_shift	#3DC241	1.029409
21	lisp_semantics_object	rng_determinism_object	0	same_trit_relabel	#4EA9C5	0.747211
21	lisp_semantics_object	parallel_invariance_object	1	positive_shift	#AC6E5B	0.852123
21	lisp_semantics_object	palette_interface_object	-1	negative_shift	#3D3B15	0.719364
21	lisp_semantics_object	entropy_source_object	1	positive_shift	#0FBF6C	0.629665
21	lisp_semantics_object	propagator_cell_object	-1	negative_shift	#7378C9	0.839216
21	lisp_semantics_object	abductive_world_object	0	same_trit_relabel	#68A08F	0.760127
21	lisp_semantics_object	fuzz_soundness_object	1	positive_shift	#528FF4	0.81926
21	lisp_semantics_object	ternary_regression_object	-1	negative_shift	#9FEE77	0.982729
21	lisp_semantics_object	nonriemannian_gate_object	0	same_trit_relabel	#622CF1	0.560345
21	lisp_semantics_object	exa_loop_object	1	positive_shift	#7E8695	0.871632
21	lisp_semantics_object	aqua_hygiene_object	-1	negative_shift	#8D20DE	0.915221
21	lisp_semantics_object	scip_catcolab_object	0	same_trit_relabel	#7D9053	0.574225
22	entropy_source_object	color_space_object	0	same_trit_relabel	#4D3551	0.950525
22	entropy_source_object	trit_tick_object	1	positive_shift	#47376F	1.090805
22	entropy_source_object	rng_determinism_object	-1	negative_shift	#9638A6	1.046563
22	entropy_source_object	parallel_invariance_object	0	same_trit_relabel	#DBE8DA	0.660292
22	entropy_source_object	palette_interface_object	1	positive_shift	#55955F	0.816833
22	entropy_source_object	lisp_semantics_object	-1	negative_shift	#CE2DFC	0.469745
22	entropy_source_object	propagator_cell_object	1	positive_shift	#868A1A	0.761737
22	entropy_source_object	abductive_world_object	-1	negative_shift	#36056D	1.264274
22	entropy_source_object	fuzz_soundness_object	0	same_trit_relabel	#00CA9E	0.371557
22	entropy_source_object	ternary_regression_object	1	positive_shift	#EB8757	0.944532
22	entropy_source_object	nonriemannian_gate_object	-1	negative_shift	#D5A58E	0.92737
22	entropy_source_object	exa_loop_object	0	same_trit_relabel	#96D7B4	0.632686
22	entropy_source_object	aqua_hygiene_object	1	positive_shift	#95F703	1.041478
22	entropy_source_object	scip_catcolab_object	-1	negative_shift	#CE0CD6	1.077812
23	propagator_cell_object	color_space_object	-1	negative_shift	#CE82D3	0.95345
23	propagator_cell_object	trit_tick_object	0	same_trit_relabel	#74DD04	0.569182
23	propagator_cell_object	rng_determinism_object	1	positive_shift	#6D64E7	1.219547
23	propagator_cell_object	parallel_invariance_object	-1	negative_shift	#80197A	1.42057
23	propagator_cell_object	palette_interface_object	0	same_trit_relabel	#CC8666	0.400269
23	propagator_cell_object	lisp_semantics_object	1	positive_shift	#648E9B	0.945839
23	propagator_cell_object	entropy_source_object	-1	negative_shift	#8C7FCD	1.247841
23	propagator_cell_object	abductive_world_object	1	positive_shift	#894B00	1.139108
23	propagator_cell_object	fuzz_soundness_object	-1	negative_shift	#C8D425	1.31803
23	propagator_cell_object	ternary_regression_object	0	same_trit_relabel	#8D2564	0.308635
23	propagator_cell_object	nonriemannian_gate_object	1	positive_shift	#EE3859	1.030414
23	propagator_cell_object	exa_loop_object	-1	negative_shift	#5B2E57	0.850772
23	propagator_cell_object	aqua_hygiene_object	0	same_trit_relabel	#4B3C67	0.413554
23	propagator_cell_object	scip_catcolab_object	1	positive_shift	#D0FA4D	0.983333
24	abductive_world_object	color_space_object	1	positive_shift	#593478	0.83664
24	abductive_world_object	trit_tick_object	-1	negative_shift	#32FE2A	0.762544
24	abductive_world_object	rng_determinism_object	0	same_trit_relabel	#0B985F	0.708427
24	abductive_world_object	parallel_invariance_object	1	positive_shift	#065A18	1.013542
24	abductive_world_object	palette_interface_object	-1	negative_shift	#9D3F37	0.634274
24	abductive_world_object	lisp_semantics_object	0	same_trit_relabel	#77CB11	0.363544
24	abductive_world_object	entropy_source_object	1	positive_shift	#1B7252	0.860999
24	abductive_world_object	propagator_cell_object	-1	negative_shift	#436A49	0.981093
24	abductive_world_object	fuzz_soundness_object	1	positive_shift	#1BD8AB	1.069534
24	abductive_world_object	ternary_regression_object	-1	negative_shift	#922267	0.830878
24	abductive_world_object	nonriemannian_gate_object	0	same_trit_relabel	#CF0C2E	0.44575
24	abductive_world_object	exa_loop_object	1	positive_shift	#3AF7DD	0.590458
24	abductive_world_object	aqua_hygiene_object	-1	negative_shift	#908320	0.564473
24	abductive_world_object	scip_catcolab_object	0	same_trit_relabel	#493077	0.430695
25	fuzz_soundness_object	color_space_object	0	same_trit_relabel	#26AA66	0.846632
25	fuzz_soundness_object	trit_tick_object	1	positive_shift	#BE289E	0.916237
25	fuzz_soundness_object	rng_determinism_object	-1	negative_shift	#4978A7	0.815463
25	fuzz_soundness_object	parallel_invariance_object	0	same_trit_relabel	#2A1872	0.881045
25	fuzz_soundness_object	palette_interface_object	1	positive_shift	#1CEDFB	0.930237
25	fuzz_soundness_object	lisp_semantics_object	-1	negative_shift	#180FD6	0.709007
